stop_name,parent_station,zone_id,stop_id,stop_desc,stop_lat,stop_lon,location_type,platform_code
Kundalahalli Gate,,KDLGTE,20960,Kundalahalli Gate (Towards ITPL),12.95674,77.71499,,
Kundalahalli Gate,,KDLGTE,22215,Kundalahalli Gate (Towards Varthuru),12.95593,77.71574,,
Kundalahalli Metro Station,,KDLHMS1,38798,Kundalahalli Metro Station (Towards ITPL),12.97753,77.71632,,
Kundalahalli Metro Station,,KDLHMS1,38799,Kundalahalli Metro Station (Towards Kundalahalli Gate),12.97737,77.71639,,
Kundalapura,,KNDLPR1,28391,Kundalapura (Towards Uddandahalli),12.8951,77.41532,,
Kundalapura,,KNDLPR1,33625,Kundalapura (Towards Anchepalya),12.89514,77.41533,,
Kundana,,KNUD1,28393,Kundana (Towards Sadahalli),13.25735,77.62824,,
Kundana,,KNUD1,33626,Kundana (Towards Kundana Circle),13.25728,77.6283,,
Kundana Circle,,KNDCR1,28395,Kundana Circle (Towards Chapparadakallu),13.25708,77.61703,,
Kundana Circle,,KNDCR1,33627,Kundana Circle (Towards Kundana),13.25708,77.61712,,
Kundana Cross,,KDNCR1,28397,Kundana Cross (Towards Sadahalli),13.25471,77.64991,,
Kundana Cross,,Kndcr,33628,Kundana Cross (Towards Kundana),13.25476,77.64965,,
Kuppa SiddanaDoddy,,KUPSD,28402,Kuppa SiddanaDoddy (Towards Yalammana Doddy),12.72296,77.59776,,
Kuppa SiddanaDoddy,,KUPSD,33630,Kuppa SiddanaDoddy (Towards Tattigere),12.72294,77.5979,,
Kuppareddy Kere,,KREK,22216,Kuppareddy Kere (Towards Kaggalipura),12.84268,77.51789,,
Kuppareddy Kere,,KREK,22217,Kuppareddy Kere (Towards Banashankari bus station),12.84267,77.5177,,
Kuppemala,,KPML,28404,Kuppemala (Towards Nelamangala),13.10573,77.29972,,
Kuppemala,,KPML,33631,Kuppemala (Towards Ennigere),13.10568,77.2997,,
Kurubara Karenahalli,,KKH,28410,Kurubara Karenahalli (Towards Kurubara Karenahalli),12.85448,77.38327,,
Kurubara Karenahalli,,KKH,33634,Kurubara Karenahalli (Towards Jadenahalli),12.85443,77.38332,,
Kurubarahalli,,KRBRHL,33636,Kurubarahalli (Towards Cavery Nagara),13.00084,77.53588,,
Kurubarahalli,,KRBRHLL,33635,Kurubarahalli (Towards Shankar Mutt),13.00085,77.53586,,
Kurubarahalli,,KUBH,28414,Kurubarahalli (Towards Hosakote),13.10224,77.79782,,
Kurubarahalli,,KUBH,33637,Kurubarahalli (Towards Kambalipura),13.1022,77.79773,,
